Name,Latitude,Longitude
CALLE 100 CON CARRERA 46 BARRANQUILLA,11.0080352,-74.8338823
CALLE 106 CON CARRERA 53 BARRANQUILLA,11.0175066,-74.8346608
CALLE 110 CON CARRERA 13 BARRANQUILLA,10.9683261,-74.8380514
CALLE 110 CON VENTANA AL MUNDO BARRANQUILLA,11.032731,-74.831136
CALLE 17 CON CARRERA 15 BARRANQUILLA,10.9539613,-74.7739496
CALLE 17 CON CARRERA 30 BARRANQUILLA,10.9674284,-74.7748803
CALLE 17 CON CARRERA 38 BARRANQUILLA,10.9754118,-74.7753842
CALLE 19 CON CARRERA 1E BARRANQUILLA,10.936612,-74.780262
CALLE 19 CON CARRERA 5B BARRANQUILLA,10.9437723,-74.7768943
CALLE 19 CON CARRERA 7 BARRANQUILLA,10.94681,-74.7759048
CALLE 26 CON CARRERA 15 BARRANQUILLA,10.9526771,-74.7802189
CALLE 30 CON CARRERA 14 BARRANQUILLA,10.9524282,-74.7863451
CALLE 30 CON CARRERA 15 BARRANQUILLA,10.9515936,-74.7860889
CALLE 30 CON CARRERA 20 BARRANQUILLA,10.9567872,-74.786032
CALLE 30 CON CARRERA 21 BARRANQUILLA,10.9592699,-74.7851271
CALLE 30 CON CARRERA 21B BARRANQUILLA,10.9609495,-74.7843952
CALLE 30 CON CARRERA 23 BARRANQUILLA,10.9622783,-74.7839898
CALLE 30 CON CARRERA 24 BARRANQUILLA,10.963379,-74.783424
CALLE 30 CON CARRERA 25 BARRANQUILLA,10.9643142,-74.7831608
CALLE 30 CON CARRERA 28 BARRANQUILLA,10.9666814,-74.7821481
CALLE 30 CON CARRERA 30 BARRANQUILLA,10.9691942,-74.7808624
CALLE 30 CON CARRERA 38 BARRANQUILLA,10.9762252,-74.7773309
CALLE 30 CON CARRERA 4 BARRANQUILLA,10.9397426,-74.7826357
CALLE 30 CON CARRERA 40 BARRANQUILLA,10.9776657,-74.776502
CALLE 30 CON CARRERA 43 BARRANQUILLA,10.9811718,-74.7753824
CALLE 30 CON CARRERA 44 BARRANQUILLA,10.9825115,-74.77556
CALLE 30 CON CARRERA 46 BARRANQUILLA,10.9857315,-74.7769683
CALLE 30 CON CARRERA 8 BARRANQUILLA,10.9469744,-74.7847508
CALLE 30 ENTRE CARRERAS 1 Y 2 BARRANQUILLA,10.93674,-74.781744
CALLE 34 CON CARRERA 38 BARRANQUILLA,10.9771,-74.7794114
CALLE 34 CON CARRERA 40 BARRANQUILLA,10.9790133,-74.7787315
CALLE 34 CON CARRERA 41 BARRANQUILLA,10.9800066,-74.7784432
CALLE 34 CON CARRERA 43 BARRANQUILLA,10.9812295,-74.7782254
CALLE 34 CON CARRERA 44 BARRANQUILLA,10.9828928,-74.7778786
CALLE 34 CON CARRERA 45 BARRANQUILLA,10.9838136,-74.777582
CALLE 34 CON CARRERA 46 BARRANQUILLA *norte,10.985733,-74.776969
CALLE 34 CON CARRERA 46 BARRANQUILLA *sur,10.985721,-74.776957
CALLE 36B CON CARRERA 8 BARRANQUILLA,10.946079,-74.7921527
CALLE 37 CON CARRERA 44 BARRANQUILLA,10.9833457,-74.7799369
CALLE 37 CON CARRERA 46 BARRANQUILLA,10.9860925,-74.7793988
CALLE 38 CON CARRERA 30 BARRANQUILLA,10.9703976,-74.7844122
CALLE 38 CON CARRERA 33 BARRANQUILLA,10.973159,-74.7833655
CALLE 38 CON CARRERA 38 BARRANQUILLA,10.9780656,-74.781797
CALLE 38 CON CARRERA 40 BARRANQUILLA,10.9799677,-74.7812785
CALLE 38 CON CARRERA 44 BARRANQUILLA,10.9834463,-74.780499
